x,y
1,4.75225932
2,4.05973702
3,3.46776961
4,2.96394429
5,2.54473481
6,2.19249208
7,1.88809567
8,1.63164809
9,1.41637187
10,1.23272035
11,1.07255671
12,0.93183376
13,0.81647361
14,0.72386990
15,0.64992486
16,0.58903181
17,0.53732413
18,0.49415372
19,0.45773143
20,0.42686717
21,0.40151035
22,0.38054495
23,0.36302318
24,0.34909419
25,0.33725898
26,0.32818230
27,0.32082361
28,0.31523145
29,0.31088455
30,0.30711531
31,0.30416092
32,0.30175861
33,0.29984546
34,0.29817326
35,0.29687559
36,0.29569365
37,0.29465917
38,0.29380085
39,0.29303324
40,0.29229294
41,0.29162708
42,0.29104981
43,0.29056408
44,0.29007052
45,0.28966691
46,0.28927161
47,0.28889462
48,0.28854786
49,0.28823796
50,0.28792298
51,0.28762219
52,0.28736261
53,0.28708608
54,0.28687226
55,0.28666522
56,0.28637760
57,0.28615256
58,0.28598287
59,0.28574722
60,0.28551587
61,0.28532180
62,0.28514040
63,0.28499319
64,0.28486497
65,0.28463956
66,0.28448369
67,0.28438576
68,0.28422292
69,0.28408500
70,0.28395921
71,0.28394516
72,0.28373935
73,0.28353427
74,0.28351754
75,0.28341047
76,0.28321980
77,0.28317576
78,0.28300536
79,0.28294844
80,0.28282413
81,0.28273659
82,0.28267565
83,0.28259703
84,0.28245977
85,0.28234839
86,0.28234393
87,0.28224174
88,0.28235273
89,0.28207651
90,0.28217769
91,0.28187221
92,0.28179629
93,0.28177597
94,0.28164402
95,0.28157612
96,0.28148227
97,0.28141809
98,0.28132815
99,0.28125262
100,0.28117978
101,0.28127128
102,0.28102062
103,0.28098043
104,0.28092305
105,0.28079034
106,0.28071722
107,0.28064526
108,0.28069884
109,0.28055825
110,0.28044779
111,0.28043533
112,0.28045959
113,0.28024465
114,0.28023997
115,0.28014739
116,0.28017603
117,0.27999410
118,0.28015340
119,0.27994151
120,0.27991278
121,0.27985601
122,0.27983246
123,0.27972035
124,0.27972450
125,0.27964681
126,0.27961636
127,0.27955236
128,0.27955063
129,0.27946995
130,0.27949303
131,0.27940005
132,0.27934371
133,0.27936589
134,0.27925321
135,0.27929434
136,0.27912352
137,0.27929777
138,0.27935329
139,0.27922508
140,0.27907604
141,0.27904375
142,0.27906603
143,0.27915163
144,0.27902500
145,0.27896989
146,0.27898252
147,0.27885366
148,0.27885261
149,0.27885252
150,0.27882639
151,0.27895009
152,0.27875435
153,0.27878019
154,0.27890034
155,0.27870294
156,0.27865010
157,0.27863625
158,0.27861583
159,0.27862208
160,0.27851223
161,0.27845549
162,0.27854505
163,0.27840012
164,0.27838793
165,0.27832273
166,0.27839843
167,0.27877193
168,0.27838789
169,0.27824095
170,0.27815836
171,0.27811776
172,0.27802960
173,0.27801396
174,0.27797284
175,0.27801496
176,0.27795814
177,0.27786515
178,0.27784374
179,0.27797820
180,0.27776843
181,0.27782185
182,0.27785682
183,0.27778204
184,0.27775281
185,0.27774258
186,0.27768678
187,0.27766394
188,0.27765174
189,0.27764369
190,0.27763443
191,0.27755597
192,0.27761756
193,0.27748949
194,0.27748453
195,0.27759457
196,0.27744963
197,0.27748419
198,0.27744370
199,0.27750471
200,0.27731981
201,0.27737322
202,0.27747313
203,0.27737665
204,0.27723627
205,0.27723633
206,0.27735762
207,0.27720258
208,0.27719511
209,0.27722876
210,0.27711942
211,0.27715421
212,0.27740436
213,0.27717743
214,0.27700479
215,0.27704213
216,0.27714784
217,0.27699275
218,0.27702623
219,0.27701704
220,0.27706322
221,0.27700021
222,0.27701887
223,0.27690246
224,0.27691505
225,0.27679183
226,0.27688433
227,0.27685985
228,0.27681158
229,0.27693228
230,0.27683949
231,0.27672977
232,0.27700078
233,0.27683259
234,0.27673603
235,0.27676684
236,0.27673496
237,0.27669712
238,0.27667382
239,0.27678534
240,0.27667471
241,0.27659013
242,0.27664462
243,0.27659177
244,0.27648458
245,0.27659705
246,0.27650829
247,0.27649802
248,0.27647202
249,0.27640585
250,0.27639830
251,0.27651780
252,0.27648551
253,0.27649071
254,0.27667633
255,0.27640507
256,0.27632567
257,0.27634097
258,0.27630054
259,0.27679827
260,0.27630070
261,0.27629154
262,0.27667143
263,0.27610073
264,0.27640382
265,0.27635172
266,0.27612963
267,0.27628335
268,0.27611396
269,0.27638470
270,0.27653865
271,0.27688626
272,0.27626012
273,0.27619211
274,0.27605790
275,0.27612001
276,0.27605622
277,0.27618200
278,0.27595904
279,0.27634480
280,0.27605221
281,0.27608259
282,0.27594925
283,0.27600111
284,0.27595108
285,0.27588915
286,0.27610950
287,0.27594468
288,0.27583376
289,0.27589707
290,0.27589812
291,0.27580861
292,0.27588205
293,0.27585337
294,0.27580760
295,0.27583539
296,0.27573828
297,0.27572974
298,0.27577536
299,0.27586536
300,0.27575338
301,0.27579182
302,0.27576646
303,0.27585023
304,0.27571778
305,0.27570932
306,0.27567371
307,0.27569512
308,0.27568583
309,0.27557471
310,0.27569322
311,0.27558195
312,0.27584782
313,0.27567211
314,0.27566363
315,0.27553611
316,0.27565552
317,0.27550684
318,0.27554683
319,0.27552476
320,0.27572980
321,0.27559903
322,0.27562991
323,0.27547167
324,0.27547920
325,0.27560713
326,0.27555562
327,0.27540263
328,0.27535584
329,0.27537611
330,0.27540117
331,0.27541465
332,0.27539452
333,0.27535748
334,0.27535795
335,0.27530565
336,0.27532280
337,0.27542670
338,0.27535083
339,0.27571983
340,0.27516791
341,0.27549570
342,0.27542835
343,0.27570354
344,0.27539409
345,0.27535409
346,0.27516803
347,0.27520642
348,0.27512315
349,0.27509586
350,0.27539012
351,0.27524008
352,0.27522915
353,0.27506297
354,0.27511248
355,0.27508603
356,0.27506898
357,0.27531710
358,0.27498712
359,0.27519818
360,0.27502556
361,0.27505015
362,0.27503648
363,0.27504523
364,0.27528065
365,0.27496530
366,0.27500003
367,0.27494432
368,0.27495612
369,0.27497697
370,0.27498549
371,0.27503335
372,0.27492084
373,0.27493383
374,0.27508319
375,0.27501319
376,0.27497334
377,0.27493873
378,0.27534422
379,0.27527929
380,0.27523694
381,0.27479445
382,0.27482517
383,0.27488696
384,0.27486178
385,0.27494311
386,0.27515349
387,0.27508482
388,0.27522921
389,0.27530041
390,0.27522078
391,0.27474143
392,0.27476888
393,0.27479461
394,0.27481475
395,0.27465512
396,0.27464736
397,0.27456543
398,0.27456942
399,0.27461348
400,0.27463941
401,0.27455815
402,0.27469641
403,0.27458327
404,0.27463458
405,0.27453789
406,0.27468965
407,0.27453336
408,0.27451980
409,0.27457497
410,0.27459584
411,0.27446945
412,0.27448660
413,0.27464310
414,0.27455010
415,0.27443085
416,0.27454926
417,0.27448868
418,0.27451831
419,0.27482373
420,0.27448330
421,0.27454555
422,0.27498753
423,0.27482487
424,0.27435208
425,0.27450517
426,0.27452419
427,0.27442730
428,0.27442061
429,0.27476703
430,0.27442915
431,0.27433620
432,0.27447219
433,0.27441774
434,0.27446683
435,0.27417795
436,0.27421368
437,0.27435734
438,0.27423845
439,0.27461277
440,0.27429236
441,0.27423366
442,0.27422922
443,0.27436890
444,0.27434733
445,0.27431683
446,0.27419632